iteration,MAE
0,1.5959760292544312e-05
1,4.704630465107718e-06
2,1.215845470116106e-05
3,1.8559915295490726e-05
4,2.0086484379505666e-05
5,5.924887934666279e-06
6,3.577411527416197e-05
7,8.601796667979666e-05
8,2.2103296265896242e-06
9,6.783293993550821e-06
10,1.1212493380313715e-05
11,6.856861520844748e-05
12,2.622297647825178e-06
13,1.807184658284e-05
14,2.9653554897013378e-05
15,1.5750760713589827e-05
16,2.027495217199471e-05
17,7.400532194704602e-05
18,4.900486573139462e-06
19,0.0001093085824191542
