,,
,,
,,
iteration,MAE,
0,0.500000000000004,1-2
1,0.5,
2,0.500000000000002,
3,0.5,
4,0.5,
5,0.5,
6,0.500000000000004,
7,0.500000000000002,
8,0,
9,0.5,
10,0.5,
11,0,
12,0.5,
13,0.5,
14,0.5,
15,0.5,
16,0.500000000000004,
17,0.5,
18,0.500000000000004,
19,0.5,
iteration,MAE,
0,0.4,1-3
1,0.4,
2,0.4,
3,0.400000000000003,
4,0.400000000000003,
5,0.4,
6,0.400000000000001,
7,0.4,
8,0.4,
9,0.400000000000003,
10,0.400000000000003,
11,0.4,
12,0.4,
13,0.4,
14,0.400000000000003,
15,0.4,
16,0.400000000000001,
17,0.400000000000006,
18,0.400000000000003,
19,0.4,
iteration,MAE,
0,0.333333333333333,1-4
1,0.333333333333338,
2,0.333333333333333,
3,0.333333333333338,
4,0.333333333333333,
5,0.333333333333333,
6,0.333333333333333,
7,0.333333333333333,
8,0.333333333333333,
9,0.333333333333333,
10,0.333333333333333,
11,0.333333333333333,
12,0.333333333333333,
13,0.333333333333333,
14,0.333333333333336,
15,0.333333333333336,
16,0.333333333333333,
17,0.333333333333336,
18,0.333333333333336,
19,0.333333333333333,
iteration,MAE,1-5
0,0.285714285714286,
1,0.285714285714286,
2,0.28571428571429,
3,0.285714285714286,
4,0.28571428571429,
5,0.285714285714286,
6,0.28571428571429,
7,0.285714285714286,
8,0.285714285714286,
9,0.28571428571429,
10,0.28571428571429,
11,0.285714285714286,
12,0.28571428571429,
13,0.285714285714286,
14,0.285714285714288,
15,0.285714285714286,
16,0.285714285714288,
17,0.28571428571429,
18,0.285714285714288,
19,0.285714285714286,
iteration,MAE,1-6
0,0.250000000000004,
1,0.25,
2,0.25,
3,0.250000000000002,
4,0.25,
5,0.250000000000004,
6,0.25,
7,0.250000000000002,
8,0.250000000000002,
9,0.250000000000004,
10,0.25,
11,0.250000000000004,
12,0.250000000000004,
13,0.250000000000004,
14,0.25,
15,0.25,
16,0.25,
17,0.25,
18,0.25,
19,0.25,
iteration,MAE,2-1
0,0,
1,3.5527136788005E-15,
2,1.77635683940025E-15,
3,0,
4,3.5527136788005E-15,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,3.5527136788005E-15,
12,1.77635683940025E-15,
13,0,
14,3.5527136788005E-15,
15,3.5527136788005E-15,
16,0,
17,0,
18,3.5527136788005E-15,
19,0,
iteration,MAE,2-2
0,2.04244827674429,
1,0.550312903423305,
2,1.26959138773415,
3,0.355459355036204,
4,4.14795748634879,
5,1.10953882217829,
6,3.29042366436686,
7,3.90134634759075,
8,0.144121126912426,
9,2.00933644985413,
10,0.057917278505026,
11,0.72546480387009,
12,0.002026232565195,
13,2.85618874822736,
14,5.98780456281789,
15,2.01508046073017,
16,0.012767765997557,
17,0.020421075165359,
18,2.31942062136306,
19,5.42501181435826,
iteration,MAE,2-3
0,9.19988319081355E-06,
1,2.97782354062951E-05,
2,6.18179385769764E-05,
3,7.12195740694329E-05,
4,1.88276348330093E-05,
5,2.412804196672E-05,
6,9.51930596343372E-05,
7,5.23408066137043E-05,
8,2.40309080324907E-05,
9,6.09614867197461E-06,
10,5.25323761776941E-06,
11,2.82602538398402E-07,
12,9.20288575500157E-06,
13,0.000102120702081,
